name,category,tradition,subtype,T,A,O,year,notes
Ancient Egyptian,religion,Egyptian,State Religion,0.7,0.4,0.8,-2500,Maʿat/cosmic order; Nile cycles; participatory rites; immanent sacred within state theology.
Mesopotamian (Sumerian/Akkadian),religion,Mesopotamian,State Religion,0.6,0.2,0.6,-2200,Seasonal/astral cycles with fate (šīmtu); temple economy; immanent-yet-ordained cosmos.
Canaanite/Phoenician,religion,Canaanite,Polytheism,0.7,0.5,0.7,-1200,Storm/sea and fertility cults (Baʿal/Asherah); ritual renewal; kinship with land/sea.
Hittite/Anatolian,religion,Anatolian,Polytheism,0.6,0.3,0.6,-1500,Storm-god pantheon; treaty oaths; agrarian cycles; ritual maintenance of order.
Hellenic Polytheism (Classical),religion,Hellenic,Polytheism (Classical),0.5,0.4,0.6,-700,Civic cults; oracles & Moira; immanent gods entwined with polis.
Orphism (Greek),mysticism,Hellenic,Orphism,0.3,0.4,0.7,-500,Soul purification & rebirth; initiatory myth; cyclical cosmos.
Eleusinian Mysteries,mysticism,Hellenic,Eleusinian,0.4,0.5,0.8,-600,Demeter–Persephone cycle; initiatory renewal; experiential immanence.
Roman State Religion,religion,Roman,State Religion,0.5,0.5,0.6,-200,Pax deorum via rites/auspices; civic reciprocity with gods; pragmatic immanence.
Roman Mithraism,mysticism,Roman,Mithraism,0.4,0.6,0.6,150,Solar/astral grades; initiatory agency; moral discipline within cosmic cycle.
Early Vedic (Ṛgvedic),religion,Hinduism,Early Vedic,0.6,0.5,0.7,-1200,Ṛta (order) via sacrifice; cyclical fire/sky cult; immanence trending to later Vedānta.
Celtic (Druidic),religion,Celtic,Druidic,0.7,0.6,0.9,-300,Animist groves; seasonal feasts; land-relation and participation.
Norse/Germanic,religion,Norse/Germanic,Polytheism,0.3,0.6,0.7,900,Cycles toward Ragnarök; warrior agency; immanent pantheon/land-wights.
Thracian/Daсian (Zalmoxian),religion,Thracian/Dacian,Zalmoxian,0.5,0.5,0.7,-400,Immortality cult; communal rites; immanent underworld/sky links.
Etruscan,religion,Etruscan,State Religion,0.5,0.4,0.6,-600,Divination (haruspicy); civic-portent logic; immanent omen-bound order.
Minoan (Aegean),religion,Minoan,Aegean,0.7,0.5,0.8,-1700,Peak sanctuaries; fertility & maritime cycles; goddess-centric immanence.
Scythian/Sarmatian (Steppe),religion,Steppe,Scythian/Sarmatian,0.5,0.6,0.7,-500,Shamanic-royal cults; sky/horse symbolism; mobile cyclical rites.
